model-1578457092,1578457101.963,0.65,0.2332,0.6,0.2325
model-1578457092,1578457102.054,0.73,0.2194,0.59,0.2323
model-1578457092,1578457102.146,0.64,0.2269,0.6,0.2305
model-1578457092,1578457102.236,0.76,0.1891,0.63,0.2281
model-1578457092,1578457102.335,0.59,0.2401,0.61,0.2275
model-1578457092,1578457102.43,0.54,0.2421,0.68,0.2274
model-1578457092,1578457102.522,0.61,0.248,0.67,0.2276
model-1578457092,1578457102.613,0.65,0.2138,0.65,0.2275
model-1578457092,1578457102.708,0.59,0.2284,0.65,0.2269
model-1578457092,1578457102.8,0.6,0.2364,0.66,0.2278
model-1578457092,1578457102.907,0.52,0.2528,0.66,0.2278
model-1578457092,1578457103.006,0.64,0.2295,0.64,0.2278
model-1578457092,1578457103.098,0.62,0.2324,0.66,0.2268
model-1578457092,1578457103.191,0.69,0.2059,0.64,0.2266
model-1578457092,1578457103.283,0.64,0.2258,0.62,0.2259
model-1578457092,1578457103.377,0.63,0.2304,0.68,0.2274
model-1578457092,1578457103.469,0.65,0.2268,0.63,0.2253
model-1578457092,1578457103.56,0.64,0.2265,0.64,0.2244
model-1578457092,1578457103.651,0.58,0.2311,0.65,0.2266
model-1578457092,1578457103.742,0.69,0.2146,0.66,0.2258
model-1578457092,1578457103.835,0.66,0.2338,0.65,0.2243
model-1578457092,1578457103.929,0.64,0.2108,0.62,0.2338
model-1578457092,1578457104.026,0.64,0.2199,0.62,0.2436
model-1578457092,1578457104.117,0.58,0.2336,0.59,0.2418
model-1578457092,1578457104.209,0.63,0.2255,0.63,0.2334
model-1578457092,1578457104.301,0.63,0.2364,0.63,0.2307
model-1578457092,1578457104.395,0.62,0.2516,0.62,0.2296
model-1578457092,1578457104.486,0.63,0.2217,0.64,0.2291
model-1578457092,1578457104.579,0.58,0.2477,0.66,0.2285
model-1578457092,1578457104.669,0.66,0.2301,0.65,0.2285
model-1578457092,1578457104.761,0.58,0.2304,0.63,0.2317
model-1578457092,1578457104.854,0.61,0.2321,0.61,0.2316
model-1578457092,1578457104.95,0.64,0.2267,0.66,0.2283
model-1578457092,1578457105.043,0.66,0.21,0.66,0.2277
model-1578457092,1578457105.135,0.68,0.2105,0.62,0.2324
model-1578457092,1578457105.231,0.57,0.2329,0.64,0.2352
model-1578457092,1578457105.342,0.62,0.2242,0.62,0.2366
model-1578457092,1578457105.434,0.64,0.2297,0.62,0.2304
model-1578457092,1578457105.525,0.6,0.2207,0.63,0.2276
model-1578457092,1578457105.622,0.68,0.2147,0.58,0.2327
model-1578457092,1578457105.714,0.64,0.2088,0.58,0.2368
model-1578457092,1578457105.805,0.63,0.2436,0.64,0.2266
model-1578457092,1578457105.9,0.59,0.2315,0.63,0.234
model-1578457092,1578457105.991,0.72,0.2014,0.64,0.2419
model-1578457092,1578457106.083,0.58,0.2363,0.64,0.2368
model-1578457092,1578457106.175,0.64,0.2244,0.64,0.2287
model-1578457092,1578457106.268,0.66,0.2095,0.6,0.2257
model-1578457092,1578457106.36,0.62,0.234,0.63,0.2261
model-1578457092,1578457106.453,0.64,0.2154,0.62,0.2261
model-1578457092,1578457106.544,0.7,0.1956,0.6,0.2257
model-1578457092,1578457106.637,0.63,0.2407,0.64,0.224
model-1578457092,1578457106.731,0.65,0.2109,0.63,0.2244
model-1578457092,1578457106.823,0.66,0.2121,0.64,0.2288
model-1578457092,1578457106.918,0.6,0.2402,0.64,0.2286
model-1578457092,1578457107.011,0.6,0.2238,0.63,0.2268
model-1578457092,1578457107.102,0.74,0.1939,0.64,0.2249
model-1578457092,1578457107.194,0.6,0.2234,0.64,0.2231
model-1578457092,1578457107.295,0.56,0.2448,0.62,0.2235
model-1578457092,1578457107.389,0.68,0.2089,0.63,0.2251
model-1578457092,1578457107.48,0.64,0.2347,0.61,0.2304
model-1578457092,1578457107.572,0.75,0.2067,0.59,0.2461
model-1578457092,1578457107.663,0.54,0.2605,0.61,0.2319
model-1578457092,1578457107.759,0.62,0.2262,0.66,0.2244
model-1578457092,1578457107.852,0.67,0.2011,0.64,0.2256
model-1578457092,1578457107.948,0.73,0.1995,0.63,0.2343
model-1578457092,1578457108.043,0.65,0.2132,0.61,0.2414
model-1578457092,1578457108.139,0.63,0.2197,0.6,0.2416
model-1578457092,1578457108.23,0.6,0.2446,0.64,0.2319
model-1578457092,1578457108.327,0.57,0.2365,0.63,0.2264
model-1578457092,1578457108.418,0.66,0.2026,0.59,0.2403
model-1578457092,1578457108.51,0.64,0.2303,0.59,0.2524
model-1578457092,1578457108.603,0.62,0.2536,0.59,0.2475
model-1578457092,1578457108.698,0.59,0.2097,0.58,0.2407
model-1578457092,1578457108.792,0.58,0.2323,0.63,0.2309
model-1578457092,1578457108.884,0.59,0.2293,0.61,0.2276
model-1578457092,1578457108.985,0.58,0.2357,0.61,0.2297
model-1578457092,1578457109.077,0.61,0.2308,0.6,0.2326
model-1578457092,1578457109.169,0.57,0.2206,0.59,0.2338
model-1578457092,1578457109.26,0.66,0.213,0.6,0.2339
model-1578457092,1578457109.359,0.67,0.221,0.6,0.232
model-1578457092,1578457109.462,0.62,0.2284,0.62,0.2293
model-1578457092,1578457109.559,0.74,0.2037,0.63,0.2279
model-1578457092,1578457109.651,0.7,0.2105,0.65,0.229
model-1578457092,1578457109.741,0.62,0.2134,0.63,0.2311
model-1578457092,1578457109.835,0.69,0.2064,0.63,0.2317
model-1578457092,1578457109.928,0.64,0.2159,0.61,0.2319
model-1578457092,1578457110.021,0.64,0.2234,0.62,0.2292
model-1578457092,1578457110.113,0.68,0.1987,0.63,0.2286
model-1578457092,1578457110.222,0.57,0.2428,0.6,0.2336
model-1578457092,1578457110.315,0.67,0.2218,0.59,0.2354
model-1578457092,1578457110.409,0.58,0.2558,0.61,0.2334
model-1578457092,1578457110.5,0.62,0.2278,0.61,0.2301
model-1578457092,1578457110.593,0.66,0.2074,0.62,0.2276
model-1578457092,1578457110.686,0.68,0.2002,0.63,0.2255
model-1578457092,1578457110.777,0.72,0.1986,0.63,0.2261
model-1578457092,1578457110.869,0.64,0.2087,0.63,0.2271
